prediction_type,track,head,capacity,class,n_seeds,pred_bouts_mean,pred_bouts_sd,bout_count_ratio_pred_gt_mean,bout_count_ratio_pred_gt_sd,pred_median_duration_frames_mean,pred_median_duration_frames_sd,median_duration_ratio_pred_gt_mean,median_duration_ratio_pred_gt_sd,fraction_pred_bouts_with_any_gt_mean,fraction_pred_bouts_with_any_gt_sd,fraction_pred_bouts_merging_gt_mean,fraction_pred_bouts_merging_gt_sd,mean_overlapping_gt_bouts_mean,mean_overlapping_gt_bouts_sd,gt_bouts,gt_median_duration_frames
raw_windows,LSTM-256,lstm,256,investigation,3,905.3333333333334,51.53962876596349,0.617132469893206,0.03513267127877536,48.0,0.0,2.2857142857142856,0.0,0.8463191608514254,0.01583861416447428,0.15304307739511638,0.008312554107640554,1.050462245551464,0.020071265518056044,1467,21.0
raw_windows,LSTM-256,lstm,256,mount,3,205.66666666666666,9.291573243177572,0.9887820512820512,0.044671025207584446,80.0,0.0,1.0738255033557047,0.0,0.8453348538254198,0.03277104583245091,0.0321146358882208,0.010049073595308594,0.8774494897136407,0.0230891725638141,208,74.5
raw_windows,LSTM-512,lstm,512,attack,3,260.6666666666667,12.897028081435403,0.7322097378277155,0.036227606970324164,64.0,0.0,1.6410256410256412,0.0,0.9232354675156231,0.03826064996721739,0.24778493102228508,0.013716935816641414,1.2788279683999528,0.02515217213356731,356,39.0
raw_windows,LSTM-512,lstm,512,investigation,3,944.6666666666666,33.531080109852326,0.6439445580549875,0.022856905323689346,48.0,0.0,2.2857142857142856,0.0,0.8341669900566165,0.0015692809479023347,0.15729757713228,0.01831925495872263,1.0522327594516505,0.02952957513891492,1467,21.0
raw_windows,LSTM-512,lstm,512,mount,3,194.33333333333334,6.350852961085888,0.9342948717948718,0.03053294692829749,80.0,0.0,1.0738255033557047,0.0,0.8954248366013072,0.01042353225956559,0.032580709051297285,0.002561401694667769,0.9280055456526045,0.01280700847333887,208,74.5
raw_windows,LSTM-896,lstm,896,attack,3,262.6666666666667,18.556220879622373,0.7378277153558052,0.05212421595399548,74.66666666666667,9.237604307034012,1.9145299145299142,0.23686164889830794,0.9020995991124908,0.05001184042687189,0.2603755221824607,0.008360043597854175,1.296081794583,0.06257732732336851,356,39.0
raw_windows,LSTM-896,lstm,896,investigation,3,954.6666666666666,33.47138081007914,0.6507611906384912,0.022816210504484697,48.0,0.0,2.2857142857142856,0.0,0.8234411316636049,0.00513398017209192,0.15648192814874198,0.013789920430562456,1.0512376968543975,0.021235222382516083,1467,21.0
raw_windows,LSTM-896,lstm,896,mount,3,199.33333333333334,4.163331998932268,0.9583333333333334,0.02001601922563588,80.0,0.0,1.0738255033557047,0.0,0.9350305778877207,0.01871694538723153,0.018471024773545782,0.010609704037778396,0.9535016026612665,0.023529274626916973,208,74.5
smoothed_frames,Attention-256,attention,256,attack,3,269.0,3.605551275463989,0.7556179775280899,0.01012795302096627,64.0,0.0,1.6410256410256412,0.0,0.8997313893229054,0.015232213806131422,0.2726288069964425,0.0016997450931447989,1.2800780654276334,0.006501807628961719,356,39.0
smoothed_frames,Attention-256,attention,256,investigation,3,904.3333333333334,34.35597958628646,0.6164508066348557,0.023419208988607016,48.0,0.0,2.2857142857142856,0.0,0.8536443021363261,0.013710174850746154,0.1598970183466694,0.017573520777390897,1.0727673816158363,0.00968042276363174,1467,21.0
smoothed_frames,Attention-256,attention,256,mount,3,199.33333333333334,11.59022576714247,0.9583333333333334,0.05572223926510805,80.0,0.0,1.0738255033557047,0.0,0.8780496673596937,0.04793007154463224,0.03468505278788178,0.011712468225845592,0.9127347201475754,0.03861121194952765,208,74.5
smoothed_frames,Attention-512,attention,512,attack,3,302.0,26.888659319497503,0.8483146067415731,0.07552994190870083,69.33333333333333,9.237604307034013,1.7777777777777777,0.23686164889830794,0.7736496364785839,0.09507454819437634,0.26456456456456456,0.014379963836411878,1.1714922159001107,0.10053510584191662,356,39.0
smoothed_frames,Attention-512,attention,512,investigation,3,903.0,30.805843601498726,0.6155419222903885,0.020999211725629637,48.0,0.0,2.2857142857142856,0.0,0.8526106601474085,0.012466320731264302,0.16185272386608687,0.013804605712104736,1.0770207914662258,0.011001065561057531,1467,21.0
smoothed_frames,Attention-512,attention,512,mount,3,192.33333333333334,4.163331998932262,0.9246794871794872,0.0200160192256359,80.0,0.0,1.0738255033557047,0.0,0.8963397751502038,0.02378668462206505,0.029407145015617656,0.007571267879218457,0.9257469201658215,0.023376746324903455,208,74.5
smoothed_frames,Attention-896,attention,896,attack,3,278.0,11.532562594670797,0.7808988764044944,0.0323948387490753,69.33333333333333,9.237604307034012,1.7777777777777777,0.23686164889830794,0.8455725940524875,0.05252868365493592,0.2735292037785894,0.005492025526163377,1.2532505016510853,0.05384771877883954,356,39.0
smoothed_frames,Attention-896,attention,896,investigation,3,925.3333333333334,64.63229326995393,0.6307657350602136,0.04405745962505377,48.0,0.0,2.2857142857142856,0.0,0.8458858447465416,0.025981893257834822,0.15856974187790382,0.02174628936159923,1.0696666225241502,0.012920216607738289,1467,21.0
smoothed_frames,Attention-896,attention,896,mount,3,201.66666666666666,26.312227829154512,0.969551282051282,0.12650109533247375,80.0,0.0,1.0738255033557047,0.0,0.894277164178118,0.07679220002449695,0.035115636546304195,0.014385000514441134,0.9293928007244222,0.06252085458203474,208,74.5
smoothed_frames,LSTM-256,lstm,256,attack,3,282.3333333333333,25.106440076867393,0.793071161048689,0.07052370808108818,58.666666666666664,9.237604307034013,1.5042735042735043,0.23686164889830794,0.8588728933024528,0.07011668207179964,0.22683308883192813,0.013796010332306322,1.1691213533018436,0.06826106441818638,356,39.0
smoothed_frames,LSTM-256,lstm,256,investigation,3,905.3333333333334,51.53962876596349,0.617132469893206,0.03513267127877536,48.0,0.0,2.2857142857142856,0.0,0.8463191608514254,0.01583861416447428,0.15304307739511638,0.008312554107640554,1.050462245551464,0.020071265518056044,1467,21.0
smoothed_frames,LSTM-256,lstm,256,mount,3,205.66666666666666,9.291573243177572,0.9887820512820512,0.044671025207584446,80.0,0.0,1.0738255033557047,0.0,0.8453348538254198,0.03277104583245091,0.0321146358882208,0.010049073595308594,0.8774494897136407,0.0230891725638141,208,74.5
smoothed_frames,LSTM-512,lstm,512,attack,3,264.0,12.489995996796797,0.7415730337078652,0.035084258417968514,64.0,0.0,1.6410256410256412,0.0,0.9127680774822903,0.03742774695096731,0.24466372389671545,0.014168206157147648,1.2639326213166353,0.025214831823965788,356,39.0
smoothed_frames,LSTM-512,lstm,512,investigation,3,944.6666666666666,33.531080109852326,0.6439445580549875,0.022856905323689346,48.0,0.0,2.2857142857142856,0.0,0.8341669900566165,0.0015692809479023347,0.15729757713228,0.01831925495872263,1.0522327594516505,0.02952957513891492,1467,21.0
smoothed_frames,LSTM-512,lstm,512,mount,3,194.33333333333334,6.350852961085888,0.9342948717948718,0.03053294692829749,80.0,0.0,1.0738255033557047,0.0,0.8954248366013072,0.01042353225956559,0.032580709051297285,0.002561401694667769,0.9280055456526045,0.01280700847333887,208,74.5
smoothed_frames,LSTM-896,lstm,896,attack,3,265.6666666666667,18.556220879622373,0.7462546816479402,0.05212421595399545,69.33333333333333,9.237604307034012,1.7777777777777777,0.23686164889830794,0.8918535953765155,0.04873891786172511,0.2574231277117525,0.008140673049624538,1.2813658657886162,0.0608516136652782,356,39.0
smoothed_frames,LSTM-896,lstm,896,investigation,3,954.6666666666666,33.47138081007914,0.6507611906384912,0.022816210504484697,48.0,0.0,2.2857142857142856,0.0,0.8234411316636049,0.00513398017209192,0.15648192814874198,0.013789920430562456,1.0512376968543975,0.021235222382516083,1467,21.0
smoothed_frames,LSTM-896,lstm,896,mount,3,199.33333333333334,4.163331998932268,0.9583333333333334,0.02001601922563588,80.0,0.0,1.0738255033557047,0.0,0.9350305778877207,0.01871694538723153,0.018471024773545782,0.010609704037778396,0.9535016026612665,0.023529274626916973,208,74.5
